id,family,tradition,archetype,tier,coverage,candidateScore,candidateSource,candidateName,candidateAction,validationState
CAN-001,Foundations / Concepts,Core time feels,Straight 8ths,A,NAMED_MATCH,0.849,Battrochtek Library v2,Straight 8ths,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-002,Foundations / Concepts,Core time feels,Straight 16ths,A,NAMED_MATCH,0.849,Battrochtek Library v2,Straight 16ths,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-003,Foundations / Concepts,Core time feels,8th-note Shuffle,A,RELATED_CANDIDATE,0.533,Battrochtek Library v2,Texas Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-004,Foundations / Concepts,Core time feels,16th-note Shuffle,A,MISSING_OR_WEAK,0.517,Battrochtek Library v2,Texas Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-005,Foundations / Concepts,Core time feels,Half-Time,A,NAMED_MATCH,0.870,Battrochtek Library v2,Half-Time,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-006,Foundations / Concepts,Core time feels,Double-Time,A,NAMED_MATCH,0.870,Battrochtek Library v2,Double-Time,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-007,Foundations / Concepts,Core time feels,Four-on-the-Floor,A,NAMED_MATCH,0.887,Battrochtek Library v2,Four-on-the-floor,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-008,Foundations / Concepts,Core time feels,Linear Groove,A,RELATED_CANDIDATE,0.548,Battrochtek Library v2,Linear,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-009,Foundations / Concepts,Core time feels,Ghost-Note Pocket,A,NAMED_MATCH,0.870,Battrochtek Library v2,Ghost Note Pocket,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-010,Foundations / Concepts,Core time feels,Displaced Backbeat,A,NAMED_MATCH,0.849,Battrochtek Library v2,Displaced Backbeat,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-011,Foundations / Concepts,Core time feels,12/8 Ballad,A,MISSING_OR_WEAK,0.451,Battrochtek Library v2,Slow 12/8 Blues,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-012,Foundations / Concepts,Core time feels,6/8 Compound Groove,A,MISSING_OR_WEAK,0.414,Battrochtek Library v2,7/8 Foundation,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-013,Foundations / Concepts,Core time feels,3/4 Groove,A,MISSING_OR_WEAK,0.509,Battrochtek Library v2,3-over-4,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-014,Foundations / Concepts,Core time feels,5/4 Foundation,A,NAMED_MATCH,0.870,Battrochtek Library v2,5/4 Foundation,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-015,Foundations / Concepts,Core time feels,7/8 Foundation,A,NAMED_MATCH,0.870,Battrochtek Library v2,7/8 Foundation,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-016,Foundations / Concepts,Core time feels,9/8 Foundation,A,NAMED_MATCH,0.870,Battrochtek Library v2,9/8 Foundation,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-017,Rock / Pop,Foundational rock,Early Rock & Roll / Lindy Beat,A,MISSING_OR_WEAK,0.515,Groove MIDI Dataset,3 rock rockabilly 200 beat 4 4,SOURCE_POOL_HUMAN_PERFORMANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-018,Rock / Pop,Foundational rock,Classic Rock 8ths,A,MISSING_OR_WEAK,0.413,Groove MIDI Dataset,1 rock 86 beat 4 4,SOURCE_POOL_HUMAN_PERFORMANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-019,Rock / Pop,Foundational rock,Classic Rock 16ths,A,MISSING_OR_WEAK,0.483,Battrochtek Library v2,Broken 16ths,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-020,Rock / Pop,Foundational rock,Rock Shuffle,A,RELATED_CANDIDATE,0.577,Groove MIDI Dataset,1 rock shuffle 85 beat 4 4,SOURCE_POOL_HUMAN_PERFORMANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-021,Rock / Pop,Foundational rock,Half-Time Rock,A,RELATED_CANDIDATE,0.668,Battrochtek Library v2,Half-Time,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-022,Rock / Pop,Foundational rock,Hard Rock,A,MISSING_OR_WEAK,0.470,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-023,Rock / Pop,Foundational rock,Arena Rock,A,MISSING_OR_WEAK,0.452,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-024,Rock / Pop,Foundational rock,Power Ballad,A,MISSING_OR_WEAK,0.400,Drum Machine Patterns,Ballad1Break,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-025,Rock / Pop,Foundational rock,Pop Rock,A,MISSING_OR_WEAK,0.506,Drum Machine Patterns,Rock1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-026,Rock / Pop,Foundational rock,Indie Rock,A,MISSING_OR_WEAK,0.452,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-027,Rock / Pop,Foundational rock,Alternative / Grunge,A,MISSING_OR_WEAK,0.370,Battrochtek Library v2,Plena Drum-Set,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-028,Rock / Pop,Foundational rock,Punk Rock,A,RELATED_CANDIDATE,0.537,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-029,Rock / Pop,Foundational rock,Pop-Punk,A,MISSING_OR_WEAK,0.410,Drum Machine Patterns,Pop1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-030,Rock / Pop,Foundational rock,Post-Punk / New Wave,A,MISSING_OR_WEAK,0.517,Battrochtek Library v2,New Wave,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-031,Rock / Pop,Foundational rock,Surf Rock,A,RELATED_CANDIDATE,0.537,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-032,Rock / Pop,Foundational rock,Glam Rock,A,MISSING_OR_WEAK,0.460,Drum Machine Patterns,Rock1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-033,Rock / Pop,Foundational rock,Progressive Rock,A,MISSING_OR_WEAK,0.393,Basic Grooves,Supermassive Black Hole – Muse,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-034,Rock / Pop,Foundational rock,Odd-Meter Rock,A,MISSING_OR_WEAK,0.494,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-035,Rock / Pop,Foundational rock,Metal Straight-8,A,RELATED_CANDIDATE,0.556,Battrochtek Library v2,ECM Straight 8ths,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-036,Rock / Pop,Foundational rock,Metal Half-Time,A,RELATED_CANDIDATE,0.666,Battrochtek Library v2,Trap Half-Time,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-037,Rock / Pop,Foundational rock,Thrash Metal,A,MISSING_OR_WEAK,0.402,Battrochtek Library v2,Train Beat,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-038,Rock / Pop,Foundational rock,Double-Kick Metal,A,RELATED_CANDIDATE,0.557,Battrochtek Library v2,Double-Time,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-039,Rock / Pop,Foundational rock,Metalcore Half-Time,A,RELATED_CANDIDATE,0.596,Battrochtek Library v2,Trap Half-Time,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-040,Rock / Pop,Foundational rock,Stoner / Heavy Shuffle,A,MISSING_OR_WEAK,0.497,Battrochtek Library v2,Country Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-041,Funk / Soul / R&B,African-American groove,James Brown Funk,A,MISSING_OR_WEAK,0.515,Battrochtek Library v2,Meters / New Orleans Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-042,Funk / Soul / R&B,African-American groove,New Orleans Funk / Second Line,A,RELATED_CANDIDATE,0.609,Battrochtek Library v2,Meters / New Orleans Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-043,Funk / Soul / R&B,African-American groove,Meters-style New Orleans Funk,A,NAMED_MATCH,0.830,Battrochtek Library v2,Meters / New Orleans Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-044,Funk / Soul / R&B,African-American groove,P-Funk,A,RELATED_CANDIDATE,0.629,Battrochtek Library v2,P-Funk Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-045,Funk / Soul / R&B,African-American groove,Motown,A,RELATED_CANDIDATE,0.629,Battrochtek Library v2,Motown Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-046,Funk / Soul / R&B,African-American groove,Stax / Southern Soul,A,NAMED_MATCH,0.920,Battrochtek Library v2,Stax / Southern Soul,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-047,Funk / Soul / R&B,African-American groove,Philly Soul,A,NAMED_MATCH,0.907,Battrochtek Library v2,Philly Soul,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-048,Funk / Soul / R&B,African-American groove,Boogaloo Funk,A,NAMED_MATCH,0.907,Battrochtek Library v2,Boogaloo Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
