id,name,family,events,time,kick,snare,status,issues
"CAN-001","Straight 8ths","Foundations / Concepts","30","true","true","true","PASS",""
"CAN-002","Straight 16ths","Foundations / Concepts","42","true","true","true","PASS",""
"CAN-003","8th-note Shuffle","Foundations / Concepts","26","true","true","true","PASS",""
"CAN-004","16th-note Shuffle","Foundations / Concepts","50","true","true","true","PASS",""
"CAN-005","Half-Time","Foundations / Concepts","30","true","true","true","PASS",""
"CAN-006","Double-Time","Foundations / Concepts","26","true","true","true","PASS",""
"CAN-007","Four-on-the-Floor","Foundations / Concepts","26","true","true","true","PASS",""
"CAN-008","Linear Groove","Foundations / Concepts","32","true","true","true","PASS",""
"CAN-009","Ghost-Note Pocket","Foundations / Concepts","30","true","true","true","PASS",""
"CAN-010","Displaced Backbeat","Foundations / Concepts","27","true","true","true","PASS",""
"CAN-011","12/8 Ballad","Foundations / Concepts","32","true","true","true","PASS",""
"CAN-012","6/8 Compound Groove","Foundations / Concepts","18","true","true","true","PASS",""
"CAN-013","3/4 Groove","Foundations / Concepts","18","true","true","true","PASS",""
"CAN-014","5/4 Foundation","Foundations / Concepts","28","true","true","true","PASS",""
"CAN-015","7/8 Foundation","Foundations / Concepts","31","true","true","true","PASS",""
"CAN-016","9/8 Foundation","Foundations / Concepts","30","true","true","true","PASS",""
"CAN-017","Early Rock & Roll / Lindy Beat","Rock / Pop","28","true","true","true","PASS",""
"CAN-018","Classic Rock 8ths","Rock / Pop","28","true","true","true","PASS",""
"CAN-019","Classic Rock 16ths","Rock / Pop","48","true","true","true","PASS",""
"CAN-020","Rock Shuffle","Rock / Pop","30","true","true","true","PASS",""
"CAN-021","Half-Time Rock","Rock / Pop","26","true","true","true","PASS",""
"CAN-022","Hard Rock","Rock / Pop","36","true","true","true","PASS",""
"CAN-023","Arena Rock","Rock / Pop","32","true","true","true","PASS",""
"CAN-024","Power Ballad","Rock / Pop","36","true","true","true","PASS",""
"CAN-025","Pop Rock","Rock / Pop","28","true","true","true","PASS",""
"CAN-026","Indie Rock","Rock / Pop","30","true","true","true","PASS",""
"CAN-027","Alternative / Grunge","Rock / Pop","32","true","true","true","PASS",""
"CAN-028","Punk Rock","Rock / Pop","28","true","true","true","PASS",""
"CAN-029","Pop-Punk","Rock / Pop","48","true","true","true","PASS",""
"CAN-030","Post-Punk / New Wave","Rock / Pop","48","true","true","true","PASS",""
"CAN-031","Surf Rock","Rock / Pop","28","true","true","true","PASS",""
"CAN-032","Glam Rock","Rock / Pop","24","true","true","true","PASS",""
"CAN-033","Progressive Rock","Rock / Pop","34","true","true","true","PASS",""
"CAN-034","Odd-Meter Rock","Rock / Pop","24","true","true","true","PASS",""
"CAN-035","Metal Straight-8","Rock / Pop","36","true","true","true","PASS",""
"CAN-036","Metal Half-Time","Rock / Pop","34","true","true","true","PASS",""
"CAN-037","Thrash Metal","Rock / Pop","48","true","true","true","PASS",""
"CAN-038","Double-Kick Metal","Rock / Pop","44","true","true","true","PASS",""
"CAN-039","Metalcore Half-Time","Rock / Pop","36","true","true","true","PASS",""
"CAN-040","Stoner / Heavy Shuffle","Rock / Pop","32","true","true","true","PASS",""
"CAN-041","James Brown Funk","Funk / Soul / R&B","32","true","true","true","PASS",""
"CAN-042","New Orleans Funk / Second Line","Funk / Soul / R&B","38","true","true","true","PASS",""
"CAN-043","Meters-style New Orleans Funk","Funk / Soul / R&B","38","true","true","true","PASS",""
"CAN-044","P-Funk","Funk / Soul / R&B","42","true","true","true","PASS",""
"CAN-045","Motown","Funk / Soul / R&B","36","true","true","true","PASS",""
"CAN-046","Stax / Southern Soul","Funk / Soul / R&B","26","true","true","true","PASS",""
"CAN-047","Philly Soul","Funk / Soul / R&B","32","true","true","true","PASS",""
"CAN-048","Boogaloo Funk","Funk / Soul / R&B","32","true","true","true","PASS",""
"CAN-049","Go-Go","Funk / Soul / R&B","48","true","true","true","PASS",""
"CAN-050","Gospel Pocket","Funk / Soul / R&B","42","true","true","true","PASS",""
"CAN-051","Gospel Shout","Funk / Soul / R&B","40","true","true","true","PASS",""
"CAN-052","Neo-Soul","Funk / Soul / R&B","38","true","true","true","PASS",""
"CAN-053","Modern R&B","Funk / Soul / R&B","30","true","true","true","PASS",""
"CAN-054","Linear Funk","Funk / Soul / R&B","32","true","true","true","PASS",""
"CAN-055","Ghost-Note Funk","Funk / Soul / R&B","44","true","true","true","PASS",""
"CAN-056","Disco-Funk / Chic","Funk / Soul / R&B","32","true","true","true","PASS",""
"CAN-057","Chicago Shuffle","Blues / Shuffle","36","true","true","true","PASS",""
"CAN-058","Texas Shuffle","Blues / Shuffle","36","true","true","true","PASS",""
"CAN-059","Slow 12/8 Blues","Blues / Shuffle","26","true","true","true","PASS",""
"CAN-060","Straight Blues","Blues / Shuffle","28","true","true","true","PASS",""
"CAN-061","Jump Blues","Blues / Shuffle","32","true","true","true","PASS",""
"CAN-062","Train Shuffle","Blues / Shuffle","30","true","true","true","PASS",""
"CAN-063","Half-Time Shuffle","Blues / Shuffle","34","true","true","true","PASS",""
"CAN-064","Blues Rock Shuffle","Blues / Shuffle","34","true","true","true","PASS",""
