fingerprint,count,names,families
5f4f632f09e7,59,Cumbia Colombiana | Cumbia Traditional Drum-Set | Cumbia Moderna | Cumbia Sonidera | Cumbia Villera | Chicha / Cumbia Peruana | Cumbia Rebajada | Mambo | Bolero Cubano | Cha-cha-cha | Merengue | Bachata | Bomba Drum-Set | Plena Drum-Set | Calypso | Soca | Bossa Nova | Samba-Reggae | Frevo | Highlife | Kpanlogo Drum-Set | Soukous | Mbalax Drum-Set | Kompa | Zouk | Beguine | Maghreb Chaabi | Rai | Meters / New Orleans Funk | Motown Pocket | Stax / Southern Soul | Philly Soul | Gospel Shout | Neo-Soul Pocket | Slow Swing Brushes | Medium Swing Brushes | Two-Feel Swing | Broken Swing | ECM Straight 8ths | Nyabinghi Drum-Set | Digital Dancehall | Modern Dancehall | Boom Bap Pocket | G-Funk Laid-Back | Lo-Fi Pocket | Nashville Straight | Country Rock | Brushes Country | Electro | Electro-Funk | UK Garage / 2-Step | Trip-Hop | New Wave | Straight 8ths | Straight 16ths | Double-Time | Broken 16ths | Displaced Backbeat | 3-over-4,Afro / Central & South | Afro / West Africa | Concepts | Country / Americana | Electronic / Dance | Funk / Soul / R&B | Hip-Hop | Jazz / Brushes & Modern | Latin / Brazil | Latin / Caribbean | Latin / Cuba & Salsa | Latin / Cumbia | Reggae / Ska | World / Caribbean | World / North Africa & Middle East
97cee4f2b88f,17,Cumbia Funk | Songo | Mozambique | Timba | Samba Partido Alto | Brazilian Funk | Afrobeat | Makossa | P-Funk Pocket | Boogaloo Funk | Go-Go Pocket | Dilla Feel | Old School Breakbeat | Dilla Drunk Beat | Funky President-style Break | Drum & Bass | Jungle,Afro / Central & South | Afro / West Africa | Electronic / Dance | Funk / Soul / R&B | Hip-Hop | Latin / Brazil | Latin / Cuba & Salsa | Latin / Cumbia
80e5da64bcf4,7,South African House | Italo Disco | Deep House | Funky House | Techno | Synthwave | Four-on-the-floor,Afro / Central & South | Concepts | Electronic / Dance
e773fb6390c0,7,Son Cubano | Son Montuno | Salsa 2-3 | Salsa 3-2 | Guaguanco Drum-Set | Maqsum Drum-Set | Saidi Drum-Set,Latin / Cuba & Salsa | World / North Africa & Middle East
0f7f502d6c91,6,Bembe 6/8 | Afro 6/8 | Fanga Drum-Set | Sega Drum-Set | Maloya Drum-Set | Gnawa Drum-Set,Afro / West Africa | Latin / Cuba & Salsa | World / Indian Ocean | World / North Africa & Middle East
9c86f425b069,6,Chicago Shuffle | Texas Shuffle | Train Shuffle | Country Shuffle | Shuffle 8ths | Shuffle 16ths,Blues / Shuffle | Concepts | Country / Americana
ff683effcfde,5,Amapiano | Modern R&B | Trap Half-Time | Drill | Half-Time,Afro / Central & South | Concepts | Funk / Soul / R&B | Hip-Hop
96c6c88a553e,4,Train Beat | Two-Step | Bluegrass Drum-Set | Honky Tonk,Country / Americana
88bcb562d270,3,Balkan 7/8 | Modern Jazz 7/8 | 7/8 Foundation,Concepts | Jazz / Brushes & Modern | World / Balkans
a42eca7e2aac,3,Samba | Baiao | Maracatu,Latin / Brazil
2fefe897ebdb,2,Balkan 9/8 | 9/8 Foundation,Concepts | World / Balkans
8ddd45055594,2,Ghost Note Funk | Ghost Note Pocket,Concepts | Funk / Soul / R&B
9354978706d3,2,Agbadza Drum-Set | Slow 12/8 Blues,Afro / West Africa | Blues / Shuffle
b31db86b055d,2,Malfuf Drum-Set | Ayoub Drum-Set,World / North Africa & Middle East
d3c34c99f8c9,2,Linear Funk | Linear,Concepts | Funk / Soul / R&B
0264caaca5e1,1,5/4 Foundation,Concepts
2a069c2bc916,1,Country Waltz,Country / Americana
760a8cc17a65,1,Reggaeton / Dembow,Latin / Caribbean
af9d2a50eefc,1,Half-Time Shuffle,Blues / Shuffle
b4975bf39c2c,1,7/4 Foundation,Concepts
