row,source,family,style,name,bpm,signature,sourceType,memoryCount,uniqueMemoryCount,fingerprint,exactDuplicatesAll,exactDuplicatesSource,action,origin,attribution
1,Basic Grooves,Rock / Pop,Rock,Billie Jean – Michael Jackson,117,4/4,curated,1,1,4303355468c7,2,2,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Billie Jean – Michael Jackson,Source IA — adaptation pédagogique
2,Basic Grooves,Rock / Pop,Rock,Back In Black – AC/DC,94,4/4,curated,1,1,c3348a405622,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Back In Black – AC/DC,Source IA — adaptation pédagogique
3,Basic Grooves,Rock / Pop,Rock,When The Levee Breaks – Led Zeppelin,72,4/4,curated,1,1,7399455cfd4d,3,3,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/When The Levee Breaks – Led Zeppelin,Source IA — adaptation pédagogique
4,Basic Grooves,Rock / Pop,Rock,Come Together – The Beatles,84,4/4,curated,1,1,5569a29ffdbe,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Come Together – The Beatles,Source IA — adaptation pédagogique
5,Basic Grooves,Rock / Pop,Rock,Sunday Bloody Sunday – U2,103,4/4,curated,1,1,e9e7e907779c,3,3,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Sunday Bloody Sunday – U2,Source IA — adaptation pédagogique
6,Basic Grooves,Rock / Pop,Rock,Smells Like Teen Spirit – Nirvana,117,4/4,curated,1,1,4303355468c7,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Smells Like Teen Spirit – Nirvana,Source IA — adaptation pédagogique
7,Basic Grooves,Rock / Pop,Rock,We Will Rock You – Queen,81,4/4,curated,1,1,dfc9ca10e8df,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/We Will Rock You – Queen,Source IA — adaptation pédagogique
8,Basic Grooves,Rock / Pop,Rock,Walk This Way – Aerosmith,108,4/4,curated,1,1,7399455cfd4d,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Walk This Way – Aerosmith,Source IA — adaptation pédagogique
9,Basic Grooves,Rock / Pop,Rock,Dreams – Fleetwood Mac,120,4/4,curated,1,1,d1a3a9476481,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Dreams – Fleetwood Mac,Source IA — adaptation pédagogique
10,Basic Grooves,Rock / Pop,Rock,Rosanna – Toto,82,4/4,curated,1,1,e9e7e907779c,3,3,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Rosanna – Toto,Source IA — adaptation pédagogique
11,Basic Grooves,Rock / Pop,Rock,In The Air Tonight – Phil Collins,95,4/4,curated,1,1,57a473464793,2,2,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/In The Air Tonight – Phil Collins,Source IA — adaptation pédagogique
12,Basic Grooves,Rock / Pop,Rock,Every Breath You Take – The Police,117,4/4,curated,1,1,8f213d23d9d1,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Every Breath You Take – The Police,Source IA — adaptation pédagogique
13,Basic Grooves,Rock / Pop,Rock,Locked Out Of Heaven – Bruno Mars,144,4/4,curated,1,1,7e59cf15f2cd,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Locked Out Of Heaven – Bruno Mars,Source IA — adaptation pédagogique
14,Basic Grooves,Rock / Pop,Rock,Seven Nation Army – The White Stripes,124,4/4,curated,1,1,54c16f7cc4e8,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Seven Nation Army – The White Stripes,Source IA — adaptation pédagogique
15,Basic Grooves,Rock / Pop,Rock,Supermassive Black Hole – Muse,120,4/4,curated,1,1,a609ac3885e2,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Supermassive Black Hole – Muse,Source IA — adaptation pédagogique
16,Basic Grooves,Rock / Pop,Rock,Money – Pink Floyd,124,7/4,curated,1,1,a3d775649e0a,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Money – Pink Floyd,Source IA — adaptation pédagogique
17,Basic Grooves,Rock / Pop,Rock,Solsbury Hill – Peter Gabriel,102,7/4,curated,1,1,80e32c3fcc9f,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Solsbury Hill – Peter Gabriel,Source IA — adaptation pédagogique
18,Basic Grooves,Rock / Pop,Rock,Tom Sawyer (7/8 section) – Rush,88,7/8,curated,1,1,3e9d0b74c96d,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Rock / Pop/Tom Sawyer (7/8 section) – Rush,Source IA — adaptation pédagogique
19,Basic Grooves,Rock / Pop,Rock,Use Somebody – Kings Of Leon,138,4/4,curated,1,1,06de8178b86a,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Use Somebody – Kings Of Leon,Source IA — adaptation pédagogique
20,Basic Grooves,Rock / Pop,Rock,Take Me Out – Franz Ferdinand,104,4/4,curated,1,1,f7fa9aef92e8,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Take Me Out – Franz Ferdinand,Source IA — adaptation pédagogique
21,Basic Grooves,Rock / Pop,Rock,Baba O’Riley – The Who,117,4/4,curated,1,1,57a473464793,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Baba O’Riley – The Who,Source IA — adaptation pédagogique
22,Basic Grooves,Rock / Pop,Rock,Rebel Rebel – David Bowie,126,4/4,curated,1,1,8f213d23d9d1,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Rebel Rebel – David Bowie,Source IA — adaptation pédagogique
23,Basic Grooves,Rock / Pop,Rock,Sledgehammer – Peter Gabriel,96,4/4,curated,1,1,7399455cfd4d,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Sledgehammer – Peter Gabriel,Source IA — adaptation pédagogique
24,Basic Grooves,Rock / Pop,Rock,Everybody Wants To Rule The World – Tears for Fears,112,12/8,curated,1,1,61848122c4b4,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Everybody Wants To Rule The World – Tears for Fears,Source IA — adaptation pédagogique
25,Basic Grooves,Rock / Pop,Rock,Message in a Bottle – The Police,151,4/4,curated,1,1,e9e7e907779c,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Rock / Pop/Message in a Bottle – The Police,Source IA — adaptation pédagogique
26,Basic Grooves,Funk / Soul,Funk,Funky Drummer – James Brown,100,4/4,curated,1,1,2bf30b693cdc,2,2,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Funk / Soul/Funky Drummer – James Brown,Source IA — adaptation pédagogique
27,Basic Grooves,Funk / Soul,Funk,Cissy Strut – The Meters,90,4/4,curated,1,1,505f2835c51f,2,2,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Funk / Soul/Cissy Strut – The Meters,Source IA — adaptation pédagogique
28,Basic Grooves,Funk / Soul,Funk,Superstition – Stevie Wonder,100,4/4,curated,1,1,87e785c9e4ee,2,2,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Funk / Soul/Superstition – Stevie Wonder,Source IA — adaptation pédagogique
29,Basic Grooves,Funk / Soul,Funk,Cold Sweat – James Brown,112,4/4,curated,1,1,505f2835c51f,2,2,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Funk / Soul/Cold Sweat – James Brown,Source IA — adaptation pédagogique
30,Basic Grooves,Funk / Soul,Funk,Use Me – Bill Withers,78,4/4,curated,1,1,87e785c9e4ee,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Use Me – Bill Withers,Source IA — adaptation pédagogique
31,Basic Grooves,Funk / Soul,Funk,Chameleon – Herbie Hancock,112,4/4,curated,1,1,52291d02f10c,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Chameleon – Herbie Hancock,Source IA — adaptation pédagogique
32,Basic Grooves,Funk / Soul,Funk,Pick Up The Pieces – Average White Band,108,4/4,curated,1,1,2e47bcea37bf,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Pick Up The Pieces – Average White Band,Source IA — adaptation pédagogique
33,Basic Grooves,Funk / Soul,Funk,The Chicken – Jaco Pastorius,104,4/4,curated,1,1,1374132c6ffa,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/The Chicken – Jaco Pastorius,Source IA — adaptation pédagogique
34,Basic Grooves,Funk / Soul,Funk,Get Up (I Feel Like Being A) Sex Machine – James Brown,108,4/4,curated,1,1,3c86269534b4,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Get Up (I Feel Like Being A) Sex Machine – James Brown,Source IA — adaptation pédagogique
35,Basic Grooves,Funk / Soul,Funk,Just Kissed My Baby – The Meters,96,4/4,curated,1,1,3d9ab63d5f99,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Just Kissed My Baby – The Meters,Source IA — adaptation pédagogique
36,Basic Grooves,Funk / Soul,Funk,I Got The Feelin' – James Brown,112,4/4,curated,1,1,4def37710709,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/I Got The Feelin' – James Brown,Source IA — adaptation pédagogique
37,Basic Grooves,Funk / Soul,Funk,Soul Man – Sam & Dave,112,4/4,curated,1,1,408374df7bbc,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Soul Man – Sam & Dave,Source IA — adaptation pédagogique
38,Basic Grooves,Funk / Soul,Funk,I Heard It Through The Grapevine – Marvin Gaye,117,4/4,curated,1,1,d46c219512fe,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/I Heard It Through The Grapevine – Marvin Gaye,Source IA — adaptation pédagogique
39,Basic Grooves,Funk / Soul,Funk,Let's Stay Together – Al Green,102,4/4,curated,1,1,5aaf23d06cff,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Let's Stay Together – Al Green,Source IA — adaptation pédagogique
40,Basic Grooves,Funk / Soul,Funk,Ain't Too Proud To Beg – The Temptations,118,4/4,curated,1,1,42b30a4a0ef8,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Ain't Too Proud To Beg – The Temptations,Source IA — adaptation pédagogique
41,Basic Grooves,Funk / Soul,Funk,Papa Was A Rollin' Stone – The Temptations,122,4/4,curated,1,1,fbb9a544200d,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Papa Was A Rollin' Stone – The Temptations,Source IA — adaptation pédagogique
42,Basic Grooves,Funk / Soul,Funk,Brick House – Commodores,108,4/4,curated,1,1,2e47bcea37bf,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Brick House – Commodores,Source IA — adaptation pédagogique
43,Basic Grooves,Funk / Soul,Funk,Le Freak – Chic,119,4/4,curated,1,1,2bf30b693cdc,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Le Freak – Chic,Source IA — adaptation pédagogique
44,Basic Grooves,Funk / Soul,Funk,Good Times – Chic,111,4/4,curated,1,1,e9ca47677904,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Good Times – Chic,Source IA — adaptation pédagogique
45,Basic Grooves,Funk / Soul,Funk,Kiss – Prince,112,4/4,curated,1,1,384348561eb9,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Kiss – Prince,Source IA — adaptation pédagogique
46,Basic Grooves,Funk / Soul,Funk,Kissing My Love – Bill Withers,103,4/4,curated,1,1,1374132c6ffa,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Kissing My Love – Bill Withers,Source IA — adaptation pédagogique
47,Basic Grooves,Funk / Soul,Funk,Rock Steady – Aretha Franklin,104,4/4,curated,1,1,3c86269534b4,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Rock Steady – Aretha Franklin,Source IA — adaptation pédagogique
48,Basic Grooves,Funk / Soul,Funk,What Is Hip? – Tower of Power,106,4/4,curated,1,1,1bd0d29d9eda,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/What Is Hip? – Tower of Power,Source IA — adaptation pédagogique
49,Basic Grooves,Funk / Soul,Funk,I Want You Back – The Jackson 5,98,4/4,curated,1,1,5aaf23d06cff,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/I Want You Back – The Jackson 5,Source IA — adaptation pédagogique
50,Basic Grooves,Funk / Soul,Funk,Outstanding – The Gap Band,100,4/4,curated,1,1,3d9ab63d5f99,2,2,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Funk / Soul/Outstanding – The Gap Band,Source IA — adaptation pédagogique
51,Basic Grooves,Blues / Shuffle,Shuffle,Pride And Joy – Stevie Ray Vaughan,126,4/4,curated,1,1,bfa09b9717e1,17,17,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Blues / Shuffle/Pride And Joy – Stevie Ray Vaughan,Source IA — adaptation pédagogique
52,Basic Grooves,Blues / Shuffle,Shuffle,Texas Flood – Stevie Ray Vaughan,62,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Texas Flood – Stevie Ray Vaughan,Source IA — adaptation pédagogique
53,Basic Grooves,Blues / Shuffle,Shuffle,Cold Shot – Stevie Ray Vaughan,110,4/4,curated,1,1,5f559340a302,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Cold Shot – Stevie Ray Vaughan,Source IA — adaptation pédagogique
54,Basic Grooves,Blues / Shuffle,Shuffle,Sweet Home Chicago – Blues Brothers,116,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Sweet Home Chicago – Blues Brothers,Source IA — adaptation pédagogique
55,Basic Grooves,Blues / Shuffle,Shuffle,Stormy Monday – T-Bone Walker,66,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Stormy Monday – T-Bone Walker,Source IA — adaptation pédagogique
56,Basic Grooves,Blues / Shuffle,Shuffle,Before You Accuse Me – Eric Clapton,112,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Before You Accuse Me – Eric Clapton,Source IA — adaptation pédagogique
57,Basic Grooves,Blues / Shuffle,Shuffle,Tush – ZZ Top,145,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Tush – ZZ Top,Source IA — adaptation pédagogique
58,Basic Grooves,Blues / Shuffle,Shuffle,La Grange – ZZ Top,82,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/La Grange – ZZ Top,Source IA — adaptation pédagogique
59,Basic Grooves,Blues / Shuffle,Shuffle,Crossroads – Cream,132,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Crossroads – Cream,Source IA — adaptation pédagogique
60,Basic Grooves,Blues / Shuffle,Shuffle,Red House – Jimi Hendrix,70,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Red House – Jimi Hendrix,Source IA — adaptation pédagogique
61,Basic Grooves,Blues / Shuffle,Shuffle,Fool In The Rain – Led Zeppelin,92,4/4,curated,1,1,bfa09b9717e1,17,17,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Blues / Shuffle/Fool In The Rain – Led Zeppelin,Source IA — adaptation pédagogique
62,Basic Grooves,Blues / Shuffle,Shuffle,Rosanna – Toto,82,4/4,curated,1,1,bfa09b9717e1,17,17,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Blues / Shuffle/Rosanna – Toto,Source IA — adaptation pédagogique
63,Basic Grooves,Blues / Shuffle,Shuffle,Home At Last – Steely Dan,94,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Home At Last – Steely Dan,Source IA — adaptation pédagogique
64,Basic Grooves,Blues / Shuffle,Shuffle,Babylon Sisters – Steely Dan,74,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Babylon Sisters – Steely Dan,Source IA — adaptation pédagogique
65,Basic Grooves,Blues / Shuffle,Shuffle,The Thrill Is Gone – B.B. King,91,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/The Thrill Is Gone – B.B. King,Source IA — adaptation pédagogique
66,Basic Grooves,Blues / Shuffle,Shuffle,Hoochie Coochie Man – Muddy Waters,72,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Hoochie Coochie Man – Muddy Waters,Source IA — adaptation pédagogique
67,Basic Grooves,Blues / Shuffle,Shuffle,I'd Rather Go Blind – Etta James,76,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/I'd Rather Go Blind – Etta James,Source IA — adaptation pédagogique
68,Basic Grooves,Blues / Shuffle,Shuffle,Still Got The Blues – Gary Moore,67,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Still Got The Blues – Gary Moore,Source IA — adaptation pédagogique
69,Basic Grooves,Blues / Shuffle,Shuffle,Since I've Been Loving You – Led Zeppelin,64,12/8,curated,1,1,763547597d73,7,7,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Since I've Been Loving You – Led Zeppelin,Source IA — adaptation pédagogique
70,Basic Grooves,Blues / Shuffle,Shuffle,Black Velvet – Alannah Myles,92,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Black Velvet – Alannah Myles,Source IA — adaptation pédagogique
71,Basic Grooves,Blues / Shuffle,Shuffle,Pride and Joy (Live Feel) – Stevie Ray Vaughan,128,4/4,curated,1,1,bfa09b9717e1,17,17,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Blues / Shuffle/Pride and Joy (Live Feel) – Stevie Ray Vaughan,Source IA — adaptation pédagogique
72,Basic Grooves,Blues / Shuffle,Shuffle,Roadhouse Blues – The Doors,121,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Roadhouse Blues – The Doors,Source IA — adaptation pédagogique
73,Basic Grooves,Blues / Shuffle,Shuffle,Boom Boom – John Lee Hooker,158,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Boom Boom – John Lee Hooker,Source IA — adaptation pédagogique
74,Basic Grooves,Blues / Shuffle,Shuffle,I’m Tore Down – Freddie King,108,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/I’m Tore Down – Freddie King,Source IA — adaptation pédagogique
75,Basic Grooves,Blues / Shuffle,Shuffle,Hide Away – Freddie King,132,4/4,curated,1,1,bfa09b9717e1,17,17,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Blues / Shuffle/Hide Away – Freddie King,Source IA — adaptation pédagogique
76,Basic Grooves,Jazz,Jazz,Take Five – Dave Brubeck Quartet,174,5/4,curated,1,1,9b7a9da80b4a,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Jazz/Take Five – Dave Brubeck Quartet,Source IA — adaptation pédagogique
77,Basic Grooves,Jazz,Jazz,So What – Miles Davis,136,4/4,curated,1,1,e0ca654dc818,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/So What – Miles Davis,Source IA — adaptation pédagogique
78,Basic Grooves,Jazz,Jazz,Moanin' – Art Blakey & The Jazz Messengers,126,4/4,curated,1,1,ebd5545d8c51,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Moanin' – Art Blakey & The Jazz Messengers,Source IA — adaptation pédagogique
79,Basic Grooves,Jazz,Jazz,Freddie Freeloader – Miles Davis,124,4/4,curated,1,1,81b366f5d748,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Freddie Freeloader – Miles Davis,Source IA — adaptation pédagogique
80,Basic Grooves,Jazz,Jazz,Cantaloupe Island – Herbie Hancock,116,4/4,curated,1,1,78e02f4eece0,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Cantaloupe Island – Herbie Hancock,Source IA — adaptation pédagogique
81,Basic Grooves,Jazz,Jazz,"Mercy, Mercy, Mercy – Cannonball Adderley",110,4/4,curated,1,1,b89dddca4548,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,"Jazz/Mercy, Mercy, Mercy – Cannonball Adderley",Source IA — adaptation pédagogique
82,Basic Grooves,Jazz,Jazz,"Sing, Sing, Sing – Benny Goodman",112,4/4,curated,1,1,e0ca654dc818,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,"Jazz/Sing, Sing, Sing – Benny Goodman",Source IA — adaptation pédagogique
