a,aName,b,bName,structural,all,sameFamily,action
"CAN-002","Straight 16ths","CAN-004","16th-note Shuffle","0.913","0.84","true","REVIEW"
"CAN-002","Straight 16ths","CAN-043","Meters-style New Orleans Funk","0.913","0.778","false","REVIEW"
"CAN-002","Straight 16ths","CAN-044","P-Funk","0.913","0.764","false","REVIEW"
"CAN-002","Straight 16ths","CAN-047","Philly Soul","0.913","0.764","false","REVIEW"
"CAN-002","Straight 16ths","CAN-055","Ghost-Note Funk","0.913","0.764","false","REVIEW"
"CAN-002","Straight 16ths","CAN-095","Trap Double-Time Hats","1","1","false","MERGE/REVIEW"
"CAN-003","8th-note Shuffle","CAN-024","Power Ballad","0.897","0.897","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-058","Texas Shuffle","0.929","0.929","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-059","Slow 12/8 Blues","0.897","0.897","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-062","Train Shuffle","0.897","0.897","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-098","Sample-Break Pocket","0.929","0.929","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-165","Bachata","0.963","0.963","false","MERGE/REVIEW"
"CAN-003","8th-note Shuffle","CAN-166","Bomba Drum-Set","0.897","0.897","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-173","Afrobeat","0.929","0.929","false","REVIEW"
"CAN-003","8th-note Shuffle","CAN-177","Fanga Drum-Set Adaptation","0.963","0.963","false","MERGE/REVIEW"
"CAN-003","8th-note Shuffle","CAN-186","Amapiano","0.963","0.963","false","MERGE/REVIEW"
"CAN-004","16th-note Shuffle","CAN-041","James Brown Funk","0.88","0.828","false","REVIEW"
"CAN-004","16th-note Shuffle","CAN-043","Meters-style New Orleans Funk","1","0.926","false","MERGE/REVIEW"
"CAN-004","16th-note Shuffle","CAN-044","P-Funk","1","0.909","false","MERGE/REVIEW"
"CAN-004","16th-note Shuffle","CAN-047","Philly Soul","1","0.909","false","MERGE/REVIEW"
"CAN-004","16th-note Shuffle","CAN-050","Gospel Pocket","0.958","0.893","false","REVIEW"
"CAN-004","16th-note Shuffle","CAN-055","Ghost-Note Funk","1","0.909","false","MERGE/REVIEW"
"CAN-004","16th-note Shuffle","CAN-056","Disco-Funk / Chic","0.958","0.828","false","REVIEW"
"CAN-004","16th-note Shuffle","CAN-077","Fusion","0.92","0.862","false","REVIEW"
"CAN-004","16th-note Shuffle","CAN-095","Trap Double-Time Hats","0.913","0.84","false","REVIEW"
"CAN-004","16th-note Shuffle","CAN-124","Footwork / Juke","0.88","0.815","false","REVIEW"
"CAN-004","16th-note Shuffle","CAN-212","Afrobeat-Funk","0.958","0.926","false","REVIEW"
"CAN-005","Half-Time","CAN-015","7/8 Foundation","0.968","0.968","true","MERGE/REVIEW"
"CAN-006","Double-Time","CAN-009","Ghost-Note Pocket","0.923","0.75","true","REVIEW"
"CAN-006","Double-Time","CAN-051","Gospel Shout","0.923","0.923","false","REVIEW"
"CAN-006","Double-Time","CAN-052","Neo-Soul","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-079","Train Beat","0.923","0.923","false","REVIEW"
"CAN-006","Double-Time","CAN-080","Country Two-Step","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-084","Nashville Straight 8ths","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-085","Country Rock","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-086","Brush Country","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-099","Mento Drum-Set Adaptation","0.923","0.923","false","REVIEW"
"CAN-006","Double-Time","CAN-106","Nyabinghi Drum-Set","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-114","Techno","0.929","0.929","false","REVIEW"
"CAN-006","Double-Time","CAN-116","Electro-Funk","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-117","UK Garage / 2-Step","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-121","Trip-Hop","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-125","Synthwave","0.897","0.897","false","REVIEW"
"CAN-006","Double-Time","CAN-174","Highlife","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-175","Kpanlogo Drum-Set","0.889","0.889","false","REVIEW"
"CAN-006","Double-Time","CAN-184","Mbaqanga","0.929","0.929","false","REVIEW"
"CAN-006","Double-Time","CAN-190","Maghreb Chaabi","0.923","0.923","false","REVIEW"
"CAN-006","Double-Time","CAN-204","Teentaal 16-beat Drum-Set Adaptation","0.929","0.929","false","REVIEW"
"CAN-006","Double-Time","CAN-205","Keherwa / 8-beat Drum-Set Adaptation","0.923","0.923","false","REVIEW"
"CAN-006","Double-Time","CAN-210","Reggae Rock","0.929","0.929","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-009","Ghost-Note Pocket","0.923","0.75","true","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-010","Displaced Backbeat","0.963","0.963","true","MERGE/REVIEW"
"CAN-007","Four-on-the-Floor","CAN-031","Surf Rock","0.897","0.897","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-045","Motown","0.929","0.929","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-051","Gospel Shout","0.923","0.923","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-052","Neo-Soul","0.889","0.889","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-060","Straight Blues","0.897","0.897","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-079","Train Beat","0.923","0.923","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-080","Country Two-Step","0.889","0.889","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-081","Country Shuffle","0.897","0.897","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-084","Nashville Straight 8ths","0.889","0.889","false","REVIEW"
"CAN-007","Four-on-the-Floor","CAN-085","Country Rock","0.889","0.889","false","REVIEW"
