"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-001","Foundations / Concepts","Core time feels","Straight 8ths","1","1","PDF-9e761b1fd58e:16|40"
"CAN-002","Foundations / Concepts","Core time feels","Straight 16ths","0","0",""
"CAN-003","Foundations / Concepts","Core time feels","8th-note Shuffle","0","0",""
"CAN-004","Foundations / Concepts","Core time feels","16th-note Shuffle","0","0",""
"CAN-005","Foundations / Concepts","Core time feels","Half-Time","8","12","PDF-5d0aaaee12c0:25|35; PDF-92d5ddbcbf60:31|42; PDF-73cfc4ffc14c:15; PDF-d9d0cc68c73f:14; PDF-2fdfcd6bd899:28|39; PDF-6b862dc919a1:1; PDF-3187600027fe:3|8|11|27; PDF-bb2244d5c087:9|11; PDF-46c92cd8a043:91; PDF-3ecc64b85be9:3; PDF-e9fb2404ba25:116|139|140; PDF-595703bb31c1:27|36"
"CAN-006","Foundations / Concepts","Core time feels","Double-Time","5","5","PDF-5d0aaaee12c0:35; PDF-92d5ddbcbf60:31|42|43; PDF-2fdfcd6bd899:28|39|40; PDF-bb2244d5c087:8|9|10|11; PDF-9e761b1fd58e:15"
"CAN-007","Foundations / Concepts","Core time feels","Four-on-the-Floor","2","3","PDF-3187600027fe:18|20; PDF-3ecc64b85be9:2; PDF-9e761b1fd58e:34"
"CAN-008","Foundations / Concepts","Core time feels","Linear Groove","5","6","PDF-6b862dc919a1:3|84|85; PDF-200e835c284b:4; PDF-4e08590ad53a:5|20|22|41; PDF-585c2cd39514:1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|18|20|22|24|26|28|30|32; PDF-6b84daa9ee9c:1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|19|21|23|25|27|29|31; PDF-39ddc4b77dca:10|11"
"CAN-009","Foundations / Concepts","Core time feels","Ghost-Note Pocket","12","18","PDF-5d0aaaee12c0:27; PDF-92d5ddbcbf60:7|33; PDF-73cfc4ffc14c:24; PDF-d9d0cc68c73f:23; PDF-13c8925b6731:2; PDF-2fdfcd6bd899:6|30; PDF-81437d754683:1; PDF-6b862dc919a1:3|81|82|83; PDF-3187600027fe:4|5|6|8|9|11|14|16|19|20|23; PDF-3d5df133b728:8; PDF-5b17d3b0173f:7|9; PDF-4e08590ad53a:12; PDF-585c2cd39514:5|6|7|8|9|10|11|13|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|31; PDF-6b84daa9ee9c:5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|30; PDF-46c92cd8a043:7|36|74|91|92|96|98|99|100|108; PDF-e9fb2404ba25:47|48|58|101|102|104|106|107|123|132|139|149|196; PDF-4f2f3846064c:5|58|61; PDF-595703bb31c1:35"
"CAN-010","Foundations / Concepts","Core time feels","Displaced Backbeat","0","0",""
"CAN-011","Foundations / Concepts","Core time feels","12/8 Ballad","1","1","PDF-3187600027fe:10"
"CAN-012","Foundations / Concepts","Core time feels","6/8 Compound Groove","0","0",""
"CAN-013","Foundations / Concepts","Core time feels","3/4 Groove","0","1","PDF-46c92cd8a043:86"
"CAN-014","Foundations / Concepts","Core time feels","5/4 Foundation","0","0",""
"CAN-015","Foundations / Concepts","Core time feels","7/8 Foundation","0","0",""
"CAN-016","Foundations / Concepts","Core time feels","9/8 Foundation","0","0",""
"CAN-017","Rock / Pop","Foundational rock","Early Rock & Roll / Lindy Beat","0","0",""
"CAN-018","Rock / Pop","Foundational rock","Classic Rock 8ths","0","0",""
"CAN-019","Rock / Pop","Foundational rock","Classic Rock 16ths","0","0",""
"CAN-020","Rock / Pop","Foundational rock","Rock Shuffle","3","3","PDF-92d5ddbcbf60:31; PDF-2fdfcd6bd899:28; PDF-3187600027fe:3|8"
"CAN-021","Rock / Pop","Foundational rock","Half-Time Rock","3","3","PDF-92d5ddbcbf60:42; PDF-2fdfcd6bd899:39; PDF-3187600027fe:3|8|11"
"CAN-022","Rock / Pop","Foundational rock","Hard Rock","1","5","PDF-6b862dc919a1:3|94; PDF-3187600027fe:11; PDF-46c92cd8a043:16|103; PDF-3ecc64b85be9:3; PDF-4f2f3846064c:62"
"CAN-023","Rock / Pop","Foundational rock","Arena Rock","0","0",""
"CAN-024","Rock / Pop","Foundational rock","Power Ballad","0","0",""
"CAN-025","Rock / Pop","Foundational rock","Pop Rock","0","2","PDF-595703bb31c1:14|36; PDF-9f544947c841:26"
"CAN-026","Rock / Pop","Foundational rock","Indie Rock","0","0",""
"CAN-027","Rock / Pop","Foundational rock","Alternative / Grunge","0","0",""
"CAN-028","Rock / Pop","Foundational rock","Punk Rock","1","2","PDF-3187600027fe:11; PDF-46c92cd8a043:70"
"CAN-029","Rock / Pop","Foundational rock","Pop-Punk","0","1","PDF-46c92cd8a043:49"
"CAN-030","Rock / Pop","Foundational rock","Post-Punk / New Wave","0","0",""
"CAN-031","Rock / Pop","Foundational rock","Surf Rock","0","1","PDF-46c92cd8a043:62"
"CAN-032","Rock / Pop","Foundational rock","Glam Rock","0","1","PDF-46c92cd8a043:53"
"CAN-033","Rock / Pop","Foundational rock","Progressive Rock","1","3","PDF-3187600027fe:11; PDF-46c92cd8a043:61|78|90|99|101; PDF-595703bb31c1:32|39"
"CAN-034","Rock / Pop","Foundational rock","Odd-Meter Rock","0","1","PDF-595703bb31c1:36"
"CAN-035","Rock / Pop","Foundational rock","Metal Straight-8","0","0",""
"CAN-036","Rock / Pop","Foundational rock","Metal Half-Time","0","0",""
"CAN-037","Rock / Pop","Foundational rock","Thrash Metal","0","0",""
"CAN-038","Rock / Pop","Foundational rock","Double-Kick Metal","0","0",""
