"sourceId","title","authors","publisher","year","sourceKind","evidenceGrade","pageCount","sha256","relativePaths"
"PDF-5d0aaaee12c0","Funkifying the Clave: Afro-Cuban Grooves for Bass and Drums","Lincoln Goines; Robby Ameen","Manhattan Music","1990","professional-method","A","59","5d0aaaee12c0474fd94fdda203f40441db5a9f834731b0c4cc4596d62301cb43","AFRO-CUBAN 🇨🇺/Afro-Cuban Grooves for Bass & Drums — Alternate Scan.pdf"
"PDF-92d5ddbcbf60","Funkifying the Clave: Afro-Cuban Grooves for Bass and Drums","Lincoln Goines; Robby Ameen","Manhattan Music","1990","professional-method","A","68","92d5ddbcbf6004ea76d06acb8cf5abac6fd500db1ef4f18d26b692f77249de7e","AFRO-CUBAN 🇨🇺/Afro-Cuban Grooves for Bass & Drums — Alternate.pdf"
"PDF-6e48001c173e","Afro-Cuban Grooves — Guajira - Son Montuno - Guaguancó - Mambo - Salsa","","","","unidentified","D","73","6e48001c173ec7515eefd9a7f04e49f3ea63d2f98a0d7d153d3d1ee4c94be2e1","AFRO-CUBAN 🇨🇺/Afro-Cuban Grooves.pdf; LATIN - SALSA - CARIBBEAN 🌴/Afro-Cuban Grooves — Guajira - Son Montuno - Guaguancó - Mambo - Salsa.pdf"
"PDF-73cfc4ffc14c","Afro-Cuban Rhythms for Drumset","Frank Malabe; Bob Weiner","Manhattan Music / Alfred Music","1990","professional-method","A","65","73cfc4ffc14cf0fcafe1a765984e0a6bc0e09290699e16e7967d711265e482af","AFRO-CUBAN 🇨🇺/Afro-Cuban Rhythms for Drumset — Alternate Edition.pdf"
"PDF-d9d0cc68c73f","Afro-Cuban Rhythms for Drumset","Frank Malabe; Bob Weiner","Manhattan Music / Alfred Music","1990","professional-method","A","64","d9d0cc68c73fc93d58e71c2581f6bc600f71b26faf97567ac21a9a01447da694","AFRO-CUBAN 🇨🇺/Afro-Cuban Rhythms for Drumset — Frank Malabe & Bob Weiner.pdf; LATIN - SALSA - CARIBBEAN 🌴/Afro-Cuban Rhythms — Bembé - Cascara - Songo - Mozambique.pdf"
"PDF-13c8925b6731","DrumGenius Afro-Cuban Groove Transcriptions","Mauro Battisti","ProJazzLab","","transcription-companion","B","20","13c8925b6731475e894e5526ee44a0bd3f3ab1422f59d0285c3b0a340d69b94c","AFRO-CUBAN 🇨🇺/DrumGenius — Afro-Cuban Groove Transcriptions.pdf"
"PDF-2fdfcd6bd899","Funkifying the Clave: Afro-Cuban Grooves for Bass and Drums","Lincoln Goines; Robby Ameen","Manhattan Music","1990","professional-method","A","62","2fdfcd6bd8992b277670b799ee2aa4542dd26905d1b55936e1f2658e0d725aed","AFRO-CUBAN 🇨🇺/Funkifying the Clave — Afro-Cuban Grooves.pdf"
"PDF-81437d754683","Timba-Go: Afro-Latin Hybrid Grooves for Drumset","James Dreier","Percussive Arts Society article","","professional-article","A-","4","81437d754683c17dc101e1da859d34e36770cfb25596237ac11a4b8b452cacc4","AFRO-CUBAN 🇨🇺/Timba-Go — Afro-Latin Hybrid Drum Grooves.pdf; LATIN - SALSA - CARIBBEAN 🌴/Timba-Go — Cuban Timba - Rockason - Cuban Hip-Hop.pdf"
"PDF-6b862dc919a1","Basic Course Drummer Notes","","","","unidentified-course-notes","C","96","6b862dc919a16e310d3b9c8f696e839bac064604a0143470550f9a61dfca7b04","BLUES - SHUFFLE/Basic Course Drummer Notes — Chicago Blues - Shuffle - Half-Time Shuffle.pdf; GENERAL - HUGE GROOVE COLLECTIONS/Basic Course Drummer Notes — 96 pages.pdf; HIP-HOP - MODERN GROOVES/Basic Course Drummer Notes — Hip-Hop - Motown - Disco - Soul.pdf"
"PDF-915091f5c74d","Bass & Drum Grooves","","","","unidentified-excerpt","C","4","915091f5c74dc241c406d570562650ecbba302ddb32a975eac133c16b03fb832","BLUES - SHUFFLE/Bass & Drum Grooves — Blues.pdf; FUNK - SOUL - R&B - LINEAR/Bass & Drum Grooves — Funk - R&B - Disco - Dance.pdf; GENERAL - HUGE GROOVE COLLECTIONS/Bass & Drum Grooves — Multi-Style.pdf; REGGAE - SKA - CARIBBEAN 🇯🇲/Bass & Drum Grooves — Reggae.pdf"
