relativePath,folder,filename,sha256,pages,title,author,creator,producer,creationDate,encrypted,pageSize,sampleTextCharacters,textLayer,error
"AFRO-CUBAN 🇨🇺/Afro-Cuban Grooves for Bass & Drums — Alternate Scan.pdf","AFRO-CUBAN 🇨🇺","Afro-Cuban Grooves for Bass & Drums — Alternate Scan.pdf","5d0aaaee12c0474fd94fdda203f40441db5a9f834731b0c4cc4596d62301cb43","59","","","","pypdf","","no","751.92 x 1033.92 pts","0","weak-or-scanned",""
"AFRO-CUBAN 🇨🇺/Afro-Cuban Grooves for Bass & Drums — Alternate.pdf","AFRO-CUBAN 🇨🇺","Afro-Cuban Grooves for Bass & Drums — Alternate.pdf","92d5ddbcbf6004ea76d06acb8cf5abac6fd500db1ef4f18d26b692f77249de7e","68","","","","pypdf","","no","751.92 x 1032.96 pts","0","weak-or-scanned",""
"AFRO-CUBAN 🇨🇺/Afro-Cuban Grooves.pdf","AFRO-CUBAN 🇨🇺","Afro-Cuban Grooves.pdf","6e48001c173ec7515eefd9a7f04e49f3ea63d2f98a0d7d153d3d1ee4c94be2e1","73","","","","pypdf","","no","751.92 x 1033.92 pts","0","weak-or-scanned",""
"AFRO-CUBAN 🇨🇺/Afro-Cuban Rhythms for Drumset — Alternate Edition.pdf","AFRO-CUBAN 🇨🇺","Afro-Cuban Rhythms for Drumset — Alternate Edition.pdf","73cfc4ffc14cf0fcafe1a765984e0a6bc0e09290699e16e7967d711265e482af","65","","","","pypdf","","no","751.92 x 972 pts","0","weak-or-scanned",""
"AFRO-CUBAN 🇨🇺/Afro-Cuban Rhythms for Drumset — Frank Malabe & Bob Weiner.pdf","AFRO-CUBAN 🇨🇺","Afro-Cuban Rhythms for Drumset — Frank Malabe & Bob Weiner.pdf","d9d0cc68c73fc93d58e71c2581f6bc600f71b26faf97567ac21a9a01447da694","64","","","","pypdf","","no","751.92 x 1047.12 pts","0","weak-or-scanned",""
"AFRO-CUBAN 🇨🇺/DrumGenius — Afro-Cuban Groove Transcriptions.pdf","AFRO-CUBAN 🇨🇺","DrumGenius — Afro-Cuban Groove Transcriptions.pdf","13c8925b6731475e894e5526ee44a0bd3f3ab1422f59d0285c3b0a340d69b94c","20","","","","pypdf","","no","751.92 x 1062.96 pts","2867","present",""
"AFRO-CUBAN 🇨🇺/Funkifying the Clave — Afro-Cuban Grooves.pdf","AFRO-CUBAN 🇨🇺","Funkifying the Clave — Afro-Cuban Grooves.pdf","2fdfcd6bd8992b277670b799ee2aa4542dd26905d1b55936e1f2658e0d725aed","62","","","","pypdf","","no","751.92 x 1030.08 pts","0","weak-or-scanned",""
"AFRO-CUBAN 🇨🇺/Timba-Go — Afro-Latin Hybrid Drum Grooves.pdf","AFRO-CUBAN 🇨🇺","Timba-Go — Afro-Latin Hybrid Drum Grooves.pdf","81437d754683c17dc101e1da859d34e36770cfb25596237ac11a4b8b452cacc4","4","","","","pypdf","","no","751.92 x 1025.04 pts","4386","present",""
"BLUES - SHUFFLE/Basic Course Drummer Notes — Chicago Blues - Shuffle - Half-Time Shuffle.pdf","BLUES - SHUFFLE","Basic Course Drummer Notes — Chicago Blues - Shuffle - Half-Time Shuffle.pdf","6b862dc919a16e310d3b9c8f696e839bac064604a0143470550f9a61dfca7b04","96","","","","pypdf","","no","751.92 x 1061.04 pts","0","weak-or-scanned",""
"BLUES - SHUFFLE/Bass & Drum Grooves — Blues.pdf","BLUES - SHUFFLE","Bass & Drum Grooves — Blues.pdf","915091f5c74dc241c406d570562650ecbba302ddb32a975eac133c16b03fb832","4","","","","pypdf","","no","751.92 x 1061.04 pts","1539","present",""
"BLUES - SHUFFLE/Drum Book — Blues - Swamp - New Orleans.pdf","BLUES - SHUFFLE","Drum Book — Blues - Swamp - New Orleans.pdf","3187600027fe3e853aacafd7634af8ed745b23c1bba149361174a339016d3b69","30","","","","pypdf","","no","751.92 x 972 pts","0","weak-or-scanned",""
"BRAZIL 🇧🇷/Brazilian Coordination for Drumset — Maria Martinez.pdf","BRAZIL 🇧🇷","Brazilian Coordination for Drumset — Maria Martinez.pdf","3d5df133b728c7c89042ed8509452da593b6e7a4f868d9a428e6393da2d49213","80","","","","pypdf","","no","751.92 x 1061.04 pts","0","weak-or-scanned",""
"BRAZIL 🇧🇷/Brazilian Drumming Rhythms.pdf","BRAZIL 🇧🇷","Brazilian Drumming Rhythms.pdf","5b17d3b0173f6869e6394ee4ffe66818c7c9c9a77db781ed9c7466a33e483e84","10","","","","pypdf","","no","751.92 x 1050.96 pts","15082","present",""
"BRAZIL 🇧🇷/Brazilian Rhythms for Drumset — Duduka Da Fonseca - Bob Weiner.pdf","BRAZIL 🇧🇷","Brazilian Rhythms for Drumset — Duduka Da Fonseca - Bob Weiner.pdf","36bf5e94d8ea9d419154bad4266d5ab1178cbb92f02d1389da297bf322499009","6","","","","pypdf","","no","751.92 x 1002 pts","1150","present",""
"BRAZIL 🇧🇷/Brazilian Rhythms for Drumset — Vera Figueiredo - Daniel Oliveira.pdf","BRAZIL 🇧🇷","Brazilian Rhythms for Drumset — Vera Figueiredo - Daniel Oliveira.pdf","bb2244d5c08713dcde0bcdc2a487a30fab6434b6f9c02bac18c7afc792d33f5b","11","","","","pypdf","","no","751.92 x 1002 pts","0","weak-or-scanned",""
"BRAZIL 🇧🇷/Candomblé Rhythm for Drumset.pdf","BRAZIL 🇧🇷","Candomblé Rhythm for Drumset.pdf","f97e3e83bf0298e9b27f3700e2c8135351c85518309e8982964a23578eaa7849","115","","","","pypdf","","no","751.92 x 1061.04 pts","48642","present",""
"BRAZIL 🇧🇷/The Brazilian Groove Book — Kiko Freitas.pdf","BRAZIL 🇧🇷","The Brazilian Groove Book — Kiko Freitas.pdf","99f49a7f9a152d958b8127f645c84d9b292dc0259b2d40930b971a70cf97192e","6","","","","pypdf","","no","751.92 x 1002 pts","10207","present",""
"DANTE AGOSTINI/Dante Agostini - Solfège Rhythmique Cahier No 1.pdf","DANTE AGOSTINI","Dante Agostini - Solfège Rhythmique Cahier No 1.pdf","f40b6fc1f4f1a702c96b2001fa6d84927c5a9385435f1e81bf8e280c83706576","68","Dante Agostini","To Ko","Windows NT 4.0","Acrobat Distiller 5.0 (Windows)","Mon Sep 17 12:13:51 2001 CEST","no","483.36 x 716.4 pts","0","weak-or-scanned",""
"DANTE AGOSTINI/Methode de Batterie Dante Agostini Vol. 1-2.pdf","DANTE AGOSTINI","Methode de Batterie Dante Agostini Vol. 1-2.pdf","30b03bbca26687eda4cd2c2eefcdca3ebd66568f41ea5e198061db587f8925e3","116","","","pdfsam-console (Ver. 2.3.0e)","iText 2.1.7 by 1T3XT","Wed Jan 19 22:21:12 2011 CET","no","612 x 842 pts","0","weak-or-scanned",""
"DANTE AGOSTINI/Methode de Batterie Dante Agostini Vol. 2.pdf","DANTE AGOSTINI","Methode de Batterie Dante Agostini Vol. 2.pdf","7064fe3e54b373cb3cb3670765ea89961abd044f225a9187d679087f5e2e7cf6","110","","","Adobe Acrobat 7.05","Adobe Acrobat 7.05 Image Conversion Plug-in","Wed Aug  2 00:45:54 2006 CEST","no","612 x 787.2 pts","0","weak-or-scanned",""
"DANTE AGOSTINI/Méthode de Batterie - Vol.2.pdf","DANTE AGOSTINI","Méthode de Batterie - Vol.2.pdf","2792e4f7409a37fbe87e997d29059e4fe21704727dc22d88e87187bf72f69dd9","110","","","PDF Presentation Adobe Photoshop CS","Adobe Photoshop for Windows -- Image Conversion Plug-in","Fri Dec 16 00:57:17 2005 CET","no","595 x 841 pts (A4)","0","weak-or-scanned",""
"DANTE AGOSTINI/Préparation aux Déchiffrages - Vol.1{.pdf","DANTE AGOSTINI","Préparation aux Déchiffrages - Vol.1{.pdf","474a33d9bfb9fb5e9e934841e07846e12a56b30cec3e5d83616810afe9e8ae28","50","","","Adobe Acrobat 6.0","Adobe Acrobat 6.0 Image Conversion Plug-in","Thu Apr 28 14:25:58 2005 CEST","no","514.44 x 685.08 pts","0","weak-or-scanned",""
"DANTE AGOSTINI/Préparation aux Déchiffrages - Vol.2.pdf","DANTE AGOSTINI","Préparation aux Déchiffrages - Vol.2.pdf","8f225657efb91b9de012cff478e440ceefcdf5d0545cf19b677079f089b33bc5","17","","","pdftk 2.02 - www.pdftk.com","GPL Ghostscript 9.07","Fri Jan  3 08:52:40 2020 CET","no","778 x 1007 pts","0","weak-or-scanned",""
